Pathway_categories,Number,Type
Cellular response to nutrient,1,biological_process
Cellular response to nutrient,1,molecular_function
Lipoprotein transporter activity,1,molecular_function
Microtubule anchoring at centrosome,3,biological_process
Golgi transport complex,7,cellular_component
Integral component of lumenal side of endoplasmic reticulum membrane,3,cellular_component
Ccr6 chemokine receptor binding,2,molecular_function
Patched binding,4,molecular_function
Regulation of cell death,3,biological_process
Antigen processing and presentation,2,biological_process
Anterior head development,2,biological_process
Endogenous lipid antigen binding,2,molecular_function
Exogenous lipid antigen binding,2,molecular_function
1-phosphatidylinositol-3-phosphate 4-kinase activity,2,molecular_function
Amino acid binding,4,molecular_function
Calcium-activated potassium channel activity,2,biological_process
Centrosome cycle,13,biological_process
Type b pancreatic cell proliferation,2,biological_process
Protein localization to photoreceptor outer segment,1,biological_process
Establishment of spindle orientation,2,biological_process
Interleukin-1 beta production,4,biological_process
Intermediate-density lipoprotein particle,2,cellular_component
Lubac complex,1,cellular_component
Peptidyl-lysine trimethylation,3,biological_process
Vesicle organization,5,biological_process
Nuclear receptor activity,13,molecular_function
Epidermal cell differentiation,3,biological_process
Positive regulation of cholesterol storage,0,biological_process
Positive regulation of sequestering of triglyceride,2,biological_process
Kinase activator activity,3,molecular_function
Fatty acid beta-oxidation,12,biological_process
Cellular response to electrical stimulus,1,biological_process
Linoleic acid metabolic process,7,biological_process
Negative regulation of low-density lipoprotein particle clearance,2,biological_process
Methyltransferase activity,19,molecular_function
Branching involved in ureteric bud morphogenesis,13,biological_process
Cellular response to arsenic-containing substance,4,biological_process
L-serine biosynthetic process,2,biological_process
Release of sequestered calcium ion into cytosol,8,biological_process
Astrocyte projection,1,cellular_component
Filopodium tip,2,cellular_component
Voltage-gated ion channel activity,4,biological_process
Voltage-gated ion channel activity,4,molecular_function
Negative regulation of autophagy,11,biological_process
Dna strand elongation involved in dna replication,4,biological_process
Regulation of mitotic cell cycle phase transition,2,biological_process
Positive regulation of autophagy,12,biological_process
Positive regulation of t cell apoptotic process,3,biological_process
Negative regulation of interleukin-4 production,1,biological_process
Pcaf complex,1,cellular_component
Heterotypic cell-cell adhesion,6,molecular_function
Type ii pneumocyte differentiation,1,biological_process
Ego complex,3,cellular_component
K48-linked polyubiquitin modification-dependent protein binding,2,molecular_function
T-circle formation,7,biological_process
Striatum development,8,biological_process
Ww domain binding,3,molecular_function
Low-density lipoprotein particle receptor binding,7,biological_process
Epithelial cell morphogenesis,6,biological_process
Bone trabecula formation,3,biological_process
Retromer complex,6,cellular_component
Protein maturation,7,biological_process
Response to muscle stretch,2,biological_process
Ammonium transport,1,biological_process
Ammonium transport,1,molecular_function
Negative regulation of substrate adhesion-dependent cell spreading,4,biological_process
Epithelial cell proliferation involved in salivary gland morphogenesis,1,biological_process
Sphingosine-1-phosphate phosphatase activity,2,molecular_function
Regulation of myotube differentiation,1,biological_process
Endopeptidase inhibitor activity,12,molecular_function
Leukotriene d4 biosynthetic process,5,biological_process
Mutlalpha complex binding,1,molecular_function
Glutathione hydrolase activity,5,molecular_function
High-density lipoprotein particle assembly,5,biological_process
Gastrulation,6,biological_process
Vacuolar membrane,8,cellular_component
Spindle pole centrosome,6,cellular_component
Gamete generation,5,biological_process
Negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning,2,biological_process
Npbaf complex,6,cellular_component
Ekc/keops complex,1,cellular_component
Myelin sheath abaxonal region,2,cellular_component
T cell homeostasis,6,biological_process
Cell-cell adhesion mediator activity,9,molecular_function
Positive regulation of tumor necrosis factor-mediated signaling pathway,6,biological_process
Mitral valve morphogenesis,1,biological_process
Nuclear polyadenylation-dependent trna catabolic process,3,biological_process
Cerebellar mossy fiber,1,cellular_component
Rna polymerase ii ctd heptapeptide repeat phosphatase activity,2,molecular_function
Regulation of vesicle-mediated transport,3,biological_process
Establishment of endothelial barrier,2,biological_process
Negative regulation of protein catabolic process,3,biological_process
Phosphotransferase activity,1,biological_process
Aldehyde dehydrogenase [nad(p)+] activity,2,molecular_function
Poly(a) binding,6,molecular_function
Negative regulation of reactive oxygen species biosynthetic process,1,biological_process
Camp-dependent protein kinase complex,4,cellular_component
Positive regulation of guanylate cyclase activity,3,biological_process
Lens morphogenesis in camera-type eye,4,biological_process
Map-kinase scaffold activity,1,molecular_function
Early endosome to golgi transport,4,biological_process
Lung morphogenesis,2,biological_process
Positive regulation of neurotrophin trk receptor signaling pathway,1,biological_process
Nadph binding,5,molecular_function
Positive regulation of interleukin-4 production,4,biological_process
Basic amino acid transmembrane transporter activity,1,molecular_function
Nucleoside-triphosphate diphosphatase activity,5,molecular_function
Establishment of protein localization to organelle,3,biological_process
Flemming body,4,cellular_component
Swi/snf complex,6,cellular_component
Sperm fibrous sheath,2,cellular_component
Cellular response to virus,8,biological_process
Embryonic retina morphogenesis in camera-type eye,3,biological_process
Glycine transmembrane transporter activity,2,molecular_function
Otic vesicle formation,3,biological_process
Common myeloid progenitor cell proliferation,3,biological_process
Macrophage activation,1,biological_process
Neuron fate specification,7,biological_process
Positive regulation of b cell receptor signaling pathway,5,biological_process
Transforming growth factor beta receptor activity,1,molecular_function
Sodium-independent organic anion transmembrane transporter activity,5,molecular_function
Sodium channel inhibitor activity,3,molecular_function
Amyloid precursor protein catabolic process,2,biological_process
Chitin binding,2,molecular_function
Mirna binding,7,molecular_function
Positive regulation of telomere maintenance,3,biological_process
Positive regulation of circadian rhythm,3,biological_process
Interleukin-6 receptor binding,1,molecular_function
Odontogenesis,11,biological_process
Ctp biosynthetic process,1,biological_process
Ovulation cycle,3,biological_process
Slit diaphragm,5,cellular_component
Ovulation cycle,3,molecular_function
Inositol-polyphosphate 5-phosphatase activity,2,biological_process
Snrna transcription by rna polymerase iii,2,biological_process
Regulation of smad protein signal transduction,5,biological_process
Determination of liver left/right asymmetry,1,biological_process
I-kappab phosphorylation,7,molecular_function
Positive regulation of monocyte chemotactic protein-1 production,2,biological_process
Postsynapse organization,6,biological_process
Postsynapse organization,6,molecular_function
Proteoglycan binding,5,molecular_function
Palmitoyltransferase activity,2,molecular_function
Negative regulation of apoptotic signaling pathway,8,biological_process
Olfactory bulb interneuron differentiation,3,biological_process
Lipid homeostasis,5,biological_process
Atrial cardiac muscle tissue morphogenesis,1,biological_process
Translation regulator activity,1,molecular_function
Protein kinase a catalytic subunit binding,2,molecular_function
Phosphatidylcholine acyl-chain remodeling,8,biological_process
Intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,8,biological_process
Dna catabolic process,1,biological_process
Trophectodermal cell differentiation,4,biological_process
Negative regulation of cytokine-mediated signaling pathway,2,biological_process
Negative regulation of cytokine-mediated signaling pathway,2,molecular_function
Map kinase kinase activity,6,biological_process
2 iron,4,molecular_function
Chloride transmembrane transporter activity,6,molecular_function
Establishment of protein localization to mitochondrion,1,biological_process
N-acetylglucosamine 6-o-sulfotransferase activity,1,molecular_function
Dynein light intermediate chain binding,4,molecular_function
Spindle organization,6,biological_process
Tubulin-glutamic acid ligase activity,1,molecular_function
Cytoplasmic side of plasma membrane,18,cellular_component
Rap guanyl-nucleotide exchange factor activity,5,molecular_function
Proton-transporting atpase activity,8,biological_process
Positive regulation of synaptic transmission,11,biological_process
Cellular response to leucine starvation,6,biological_process
Oxidoreductase activity,1,molecular_function
Purine nucleobase biosynthetic process,4,biological_process
Negative regulation of proteolysis,3,biological_process
Apicolateral plasma membrane,6,cellular_component
Axon initial segment,4,cellular_component
Phosphatidylserine acyl-chain remodeling,5,biological_process
G-protein beta/gamma-subunit complex binding,3,molecular_function
Adult walking behavior,5,biological_process
Cell proliferation in forebrain,4,biological_process
Protein refolding,4,biological_process
Gap junction channel activity,3,molecular_function
Regulation of resting membrane potential,2,biological_process
Response to organic substance,10,biological_process
Response to organic substance,10,molecular_function
Positive regulation by host of viral transcription,6,biological_process
Positive regulation of insulin-like growth factor receptor signaling pathway,5,biological_process
Cellular response to ionomycin,1,biological_process
Heparan sulfate proteoglycan biosynthetic process,3,biological_process
Chondroitin sulfate binding,2,molecular_function
Escrt iii complex disassembly,2,biological_process
Bile acid transmembrane transporter activity,3,molecular_function
Positive regulation of glucose import,11,biological_process
Negative regulation of fibroblast proliferation,9,biological_process
Hfe-transferrin receptor complex,2,cellular_component
Positive regulation of dendrite extension,3,biological_process
Cytoplasmic sequestering of nf-kappab,2,biological_process
Zinc ion transmembrane transport,4,biological_process
Regulation of blood vessel diameter,4,biological_process
Hydrolase activity,7,biological_process
Hydrolase activity,7,molecular_function
Potassium channel activity,7,molecular_function
Negative regulation by host of viral transcription,2,biological_process
Sister chromatid cohesion,5,biological_process
Alpha dna polymerase:primase complex,4,cellular_component
Regulation of cellular respiration,2,biological_process
Aromatase activity,4,molecular_function
Volume-sensitive anion channel activity,1,molecular_function
Engulfment of apoptotic cell,2,biological_process
Response to corticosteroid,2,biological_process
Response to corticosteroid,2,molecular_function
Ectopic germ cell programmed cell death,4,biological_process
Phosphatidylinositol-4-phosphate phosphatase activity,2,molecular_function
Metalloendopeptidase inhibitor activity,3,molecular_function
Jak-stat cascade involved in growth hormone signaling pathway,5,biological_process
Transcriptionally active chromatin,4,cellular_component
Regulation of arf protein signal transduction,6,biological_process
Steroid hydroxylase activity,5,molecular_function
Phospholipid transport,3,biological_process
Phospholipid transport,3,molecular_function
Proteoglycan metabolic process,4,biological_process
Cellular response to hydroxyurea,3,biological_process
Bmp receptor activity,1,molecular_function
Lipid storage,4,biological_process
Hypoglycin a gamma-glutamyl transpeptidase activity,3,molecular_function
Leukotriene c4 gamma-glutamyl transferase activity,3,molecular_function
Very-low-density lipoprotein particle,4,cellular_component
Protein phosphatase type 2a complex,6,cellular_component
Voluntary musculoskeletal movement,4,biological_process
Prostaglandin metabolic process,2,molecular_function
Ventricular system development,3,biological_process
Vitamin d metabolic process,2,biological_process
Vitamin d metabolic process,2,molecular_function
Activation of protein kinase a activity,4,biological_process
U4 snrna 3'-end processing,2,biological_process
Zymogen activation,5,biological_process
Megakaryocyte development,5,biological_process
Urea cycle,2,biological_process
Cellular response to testosterone stimulus,4,biological_process
Cellular response to oxidised low-density lipoprotein particle stimulus,1,biological_process
Methyl-cpg binding,1,molecular_function
Dopamine catabolic process,2,biological_process
Platelet alpha granule membrane,10,cellular_component
Protein localization to chromosome,2,biological_process
Garp complex,2,cellular_component
Phosphatidylinositol-3,1,molecular_function
Long-chain fatty-acyl-coa biosynthetic process,5,biological_process
Regulation of synapse organization,5,biological_process
Positive regulation of interleukin-17 production,5,biological_process
Sialic acid transmembrane transporter activity,2,molecular_function
Hydrolase activity,3,molecular_function
Lateral ventricle development,3,biological_process
Delta dna polymerase complex,2,cellular_component
Transmembrane receptor protein tyrosine phosphatase signaling pathway,1,biological_process
Positive regulation of chemokine (c-c motif) ligand 5 production,3,biological_process
Positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,2,biological_process
Negative regulation of glucocorticoid receptor signaling pathway,2,biological_process
U4 snrna binding,2,molecular_function
Acyl-coa dehydrogenase activity,1,biological_process
Acyl-coa dehydrogenase activity,1,molecular_function
Negative regulation of inclusion body assembly,5,biological_process
Fmn binding,8,molecular_function
Sodium ion transmembrane transporter activity,3,molecular_function
Stereocilium,7,cellular_component
Feeding behavior,4,biological_process
Membranous septum morphogenesis,3,biological_process
3-chloroallyl aldehyde dehydrogenase activity,3,molecular_function
U3 snorna binding,1,molecular_function
Nucleoside monophosphate kinase activity,2,molecular_function
Filopodium membrane,4,cellular_component
Lactation,19,biological_process
Cerebellar purkinje cell layer development,4,biological_process
Dystroglycan binding,1,molecular_function
Phagocytosis,14,biological_process
Positive regulation of wnt signaling pathway,2,biological_process
Atp-dependent protein binding,2,molecular_function
Membrane repolarization during cardiac muscle cell action potential,4,biological_process
Membrane repolarization during cardiac muscle cell action potential,4,molecular_function
Cd40 receptor complex,3,cellular_component
Negative regulation of axon extension involved in axon guidance,6,biological_process
Paranodal junction assembly,1,biological_process
Negative regulation of growth,7,biological_process
Nurf complex,4,cellular_component
Nad metabolic process,6,biological_process
Negative regulation of protein complex assembly,4,biological_process
L-proline biosynthetic process,4,biological_process
C-c chemokine binding,2,biological_process
C-c chemokine binding,2,molecular_function
1-phosphatidylinositol-3-kinase regulator activity,4,molecular_function
Positive regulation of cell-matrix adhesion,5,biological_process
Positive regulation of vascular endothelial cell proliferation,2,biological_process
Peptide hormone binding,8,molecular_function
Arp2/3 complex binding,3,molecular_function
Gene silencing by rna,2,biological_process
Negative regulation of mitochondrial depolarization,3,biological_process
Positive regulation of cytoplasmic mrna processing body assembly,2,biological_process
Phospholipid biosynthetic process,7,biological_process
Trna pseudouridine synthesis,1,biological_process
Positive regulation of prostaglandin secretion,2,biological_process
Neuron development,15,biological_process
Proton transmembrane transporter activity,5,biological_process
Proton transmembrane transporter activity,5,molecular_function
Positive regulation of dna biosynthetic process,5,biological_process
Copii vesicle coat,3,cellular_component
Retinol binding,5,molecular_function
Keratan sulfate catabolic process,2,biological_process
Positive regulation of amyloid-beta clearance,5,biological_process
Long-term memory,9,biological_process
Mre11 complex,3,cellular_component
Positive regulation of protein targeting to mitochondrion,8,biological_process
Positive regulation of embryonic development,2,biological_process
Cytoskeletal anchoring at nuclear membrane,5,biological_process
Phospholipid efflux,11,biological_process
Hepatocyte growth factor receptor signaling pathway,2,biological_process
Presynapse assembly,2,biological_process
Hepatocyte growth factor receptor signaling pathway,2,molecular_function
Hmg box domain binding,7,molecular_function
Acrosome assembly,2,biological_process
Positive regulation of lipopolysaccharide-mediated signaling pathway,2,biological_process
Ion channel complex,2,cellular_component
Transport vesicle membrane,14,cellular_component
Insulin-like growth factor ii binding,2,molecular_function
Carnitine metabolic process,2,biological_process
Negative regulation of megakaryocyte differentiation,1,biological_process
B cell proliferation,7,biological_process
N-acetylglucosamine metabolic process,6,biological_process
Y-form dna binding,3,molecular_function
Axon development,7,biological_process
1-acylglycerol-3-phosphate o-acyltransferase activity,8,molecular_function
Dna methylation,4,biological_process
Regulation of hematopoietic stem cell differentiation,3,biological_process
Maintenance of centrosome location,2,biological_process
Negative regulation of vascular associated smooth muscle cell migration,1,biological_process
Neurotransmitter biosynthetic process,4,biological_process
Eye development,3,biological_process
Ribose phosphate diphosphokinase complex,3,cellular_component
3m complex,1,cellular_component
Ribose phosphate diphosphokinase activity,3,molecular_function
Central element,1,cellular_component
Regulation of ventricular cardiac muscle cell membrane depolarization,3,biological_process
Positive regulation of interferon-gamma secretion,3,biological_process
Alpha-tubulin binding,9,molecular_function
Positive regulation of penile erection,2,biological_process
Negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,3,biological_process
Lymphocyte chemotaxis,11,biological_process
Positive regulation of arp2/3 complex-mediated actin nucleation,2,biological_process
Estrous cycle,5,biological_process
Toxin metabolic process,2,biological_process
Glycogen granule,1,cellular_component
U2 snrna binding,3,molecular_function
Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,11,biological_process
Positive regulation of ampa receptor activity,3,biological_process
Dopamine receptor signaling pathway,6,biological_process
Positive regulation of nitric oxide mediated signal transduction,5,biological_process
Axonemal microtubule,3,cellular_component
Phosphatidylinositol phosphate 4-phosphatase activity,2,molecular_function
Atp-dependent dna helicase activity,10,molecular_function
Epithelial cilium movement involved in determination of left/right asymmetry,2,biological_process
Interleukin-2-mediated signaling pathway,6,molecular_function
Embryonic organ development,7,biological_process
Cul2-ring ubiquitin ligase complex,4,cellular_component
Secretion,3,biological_process
Tail-anchored membrane protein insertion into er membrane,2,biological_process
Membrane coat,4,cellular_component
Regulation of catalytic activity,4,biological_process
Regulation of catalytic activity,4,molecular_function
Voltage-gated sodium channel activity,4,biological_process
Positive regulation of wnt signaling pathway,9,biological_process
Xenobiotic glucuronidation,2,biological_process
Frizzled binding,11,molecular_function
Cuprous ion binding,2,molecular_function
Glomerular visceral epithelial cell migration,1,biological_process
Calcium ion homeostasis,4,biological_process
Atp-dependent rna helicase activity,6,molecular_function
Diacylglycerol binding,6,molecular_function
Regulation of dna-templated transcription in response to stress,2,biological_process
Positive regulation of skeletal muscle tissue development,5,biological_process
Secretion by cell,3,biological_process
Collagen type iv trimer,3,cellular_component
Activation of innate immune response,4,biological_process
Potassium ion import across plasma membrane,3,biological_process
Phospholipid transporter activity,3,molecular_function
Type b pancreatic cell differentiation,2,biological_process
Thyroid hormone receptor binding,3,molecular_function
Adiponectin-activated signaling pathway,2,biological_process
Negative regulation of cyclic-nucleotide phosphodiesterase activity,1,biological_process
Glomerulus development,4,biological_process
Integrin activation,3,biological_process
Cellular response to hormone stimulus,8,biological_process
Cellular response to hormone stimulus,8,molecular_function
Negative regulation of tumor necrosis factor-mediated signaling pathway,3,biological_process
Scf complex assembly,3,biological_process
Protein k29-linked deubiquitination,1,biological_process
N-acylsphingosine amidohydrolase activity,2,molecular_function
Mutsalpha complex binding,2,molecular_function
Low-density lipoprotein particle binding,3,biological_process
Retinal pigment epithelium development,3,biological_process
Positive regulation of dna binding,11,biological_process
Ethanol oxidation,2,biological_process
Calcium-transporting atpase activity,1,biological_process
Intestinal cholesterol absorption,4,biological_process
Cellular response to osmotic stress,3,biological_process
Cell,10,biological_process
Transmembrane receptor protein serine/threonine kinase activity,1,molecular_function
Negative regulation of hippo signaling,3,biological_process
3'-utr-mediated mrna destabilization,4,biological_process
Nucleotide biosynthetic process,5,biological_process
Catecholamine biosynthetic process,3,biological_process
Sodium:phosphate symporter activity,2,molecular_function
Extracellular matrix structural constituent conferring tensile strength,12,molecular_function
Glucose import,1,biological_process
Cellular response to epinephrine stimulus,3,biological_process
Phosphotyrosine residue binding,15,molecular_function
Beta-tubulin binding,13,molecular_function
Estrogen 16-alpha-hydroxylase activity,3,molecular_function
Positive regulation of synaptic transmission,3,biological_process
Negative regulation of macrophage chemotaxis,1,biological_process
Hyaluronan catabolic process,1,biological_process
Sequestering of actin monomers,4,biological_process
Very long-chain fatty acid-coa ligase activity,5,molecular_function
Blood vessel morphogenesis,3,biological_process
Male sex determination,1,biological_process
Dendrite self-avoidance,9,biological_process
Regulation of axon diameter,2,biological_process
Positive regulation of interferon-beta biosynthetic process,1,biological_process
Intracellular transport,3,biological_process
Leptin-mediated signaling pathway,2,biological_process
Leptin-mediated signaling pathway,2,molecular_function
Isomerase activity,1,biological_process
Isomerase activity,1,molecular_function
Posttranscriptional regulation of gene expression,7,biological_process
Neurotransmitter uptake,1,biological_process
Embryonic cleavage,3,biological_process
Positive regulation of endothelial cell chemotaxis,2,biological_process
Neurotransmitter uptake,1,molecular_function
Coenzyme biosynthetic process,1,biological_process
Intestinal epithelial cell differentiation,3,biological_process
Coenzyme biosynthetic process,1,molecular_function
Embryonic placenta development,3,biological_process
Olfactory bulb development,2,biological_process
Fatty acid alpha-oxidation,5,biological_process
Natural killer cell activation,11,biological_process
U2-type prespliceosome,1,cellular_component
Arylsulfatase activity,6,molecular_function
Receptor recycling,5,biological_process
Sorting endosome,2,cellular_component
Histone h2a-k119 monoubiquitination,1,biological_process
Eukaryotic initiation factor 4e binding,3,molecular_function
Peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan,6,biological_process
Negative regulation of dendritic cell differentiation,6,biological_process
T cell receptor v(d)j recombination,1,biological_process
Periciliary membrane compartment,1,cellular_component
Positive regulation of t cell differentiation in thymus,3,biological_process
Intermediate filament organization,9,biological_process
Cdp-choline pathway,2,molecular_function
Membrane invagination,1,biological_process
Cellular response to cgmp,3,biological_process
Regulation of mitotic cell cycle spindle assembly checkpoint,1,biological_process
Membrane invagination,1,molecular_function
Cdp-diacylglycerol biosynthetic process,5,biological_process
Chylomicron,7,cellular_component
Glycoprotein biosynthetic process,2,biological_process
Neuron death,1,biological_process
Glycolipid biosynthetic process,4,biological_process
Regulation of sodium ion transport,4,biological_process
Cellular response to insulin-like growth factor stimulus,1,biological_process
Negative regulation of lipopolysaccharide-mediated signaling pathway,2,biological_process
Endodeoxyribonuclease activity,6,biological_process
Negative regulation of translational initiation,2,biological_process
Positive regulation of activated t cell proliferation,5,biological_process
Positive regulation of cell-substrate adhesion,13,biological_process
Regulation of short-term neuronal synaptic plasticity,2,biological_process
Mhc class ii receptor activity,1,molecular_function
Organic acid metabolic process,3,biological_process
Intracellular steroid hormone receptor signaling pathway,5,biological_process
Modulation of age-related behavioral decline,1,biological_process
Brisc complex,3,cellular_component
Platelet formation,1,biological_process
Myelination,16,biological_process
Interleukin-1 binding,2,molecular_function
Protein folding in endoplasmic reticulum,4,biological_process
Positive regulation of endothelial cell migration,9,biological_process
Rna polymerase ii,2,cellular_component
Protein localization to golgi apparatus,5,biological_process
Fat pad development,1,biological_process
Nuclear-transcribed mrna poly(a) tail shortening,4,biological_process
Cellular heat acclimation,2,biological_process
Positive regulation of fibroblast apoptotic process,2,biological_process
Mesonephros development,5,biological_process
Negative regulation of sequestering of triglyceride,2,biological_process
Cd8-positive,3,biological_process
Negative regulation of interleukin-10 production,3,biological_process
Notch receptor processing,1,biological_process
Melanosome transport,3,biological_process
Dynactin binding,6,molecular_function
Regulation of snare complex assembly,1,biological_process
Protein processing involved in protein targeting to mitochondrion,1,biological_process
Positive regulation of interleukin-8 biosynthetic process,1,biological_process
Dna cytosine deamination,2,biological_process
B cell activation,8,biological_process
Negative regulation of calcium ion transport,4,biological_process
Secondary heart field specification,9,biological_process
Cellular response to interferon-alpha,2,biological_process
Actin filament depolymerization,3,biological_process
Embryonic process involved in female pregnancy,2,biological_process
Negative regulation of peptidyl-tyrosine phosphorylation,4,biological_process
Roundabout binding,1,molecular_function
Histone-lysine n-methyltransferase activity,13,molecular_function
Negative regulation of oxidoreductase activity,1,biological_process
Thiamine pyrophosphate binding,2,molecular_function
Activin binding,3,molecular_function
Regulation of endothelial cell migration,2,biological_process
Inner acrosomal membrane,2,cellular_component
Mmxd complex,2,cellular_component
Posttranscriptional gene silencing by rna,5,biological_process
Negative regulation of vascular endothelial growth factor signaling pathway,5,biological_process
Positive regulation of sensory perception of pain,2,biological_process
V(d)j recombination,8,biological_process
Mammary gland branching involved in thelarche,2,biological_process
Neutrophil clearance,1,biological_process
Regulation of type b pancreatic cell proliferation,2,biological_process
Negative regulation of smooth muscle cell migration,2,biological_process
Positive regulation of basement membrane assembly involved in embryonic body morphogenesis,2,biological_process
Negative regulation of tumor necrosis factor secretion,4,biological_process
Postsynaptic modulation of chemical synaptic transmission,4,biological_process
Nad biosynthesis via nicotinamide riboside salvage pathway,3,biological_process
Ion channel activity,14,molecular_function
Positive regulation of vascular smooth muscle cell proliferation,8,biological_process
Positive regulation of lipoprotein lipase activity,1,biological_process
Positive regulation of early endosome to late endosome transport,2,biological_process
Intrinsic apoptotic signaling pathway,7,biological_process
Sirna binding,5,molecular_function
Mirna mediated inhibition of translation,1,biological_process
Positive regulation of protein polyubiquitination,1,biological_process
Leucine binding,1,molecular_function
Scar complex,1,cellular_component
Peptide receptor activity,3,biological_process
Peptide receptor activity,3,molecular_function
Myosin complex,7,cellular_component
Sa node cell action potential,5,biological_process
Regulation of potassium ion transmembrane transporter activity,2,biological_process
Sa node cell action potential,5,molecular_function
Copper ion import,3,biological_process
Protein c-linked glycosylation via 2'-alpha-mannosyl-l-tryptophan,3,biological_process
Connexin complex,4,cellular_component
Mutlalpha complex,3,cellular_component
Single thymine insertion binding,2,molecular_function
Glyceraldehyde-3-phosphate dehydrogenase (nad+) (non-phosphorylating) activity,1,molecular_function
Cation transport,6,biological_process
Cation transport,6,molecular_function
Negative regulation of blood coagulation,5,biological_process
Cristae formation,3,biological_process
Cholesterol transport,3,biological_process
Positive regulation of phagocytosis,8,biological_process
Chylomicron remnant clearance,7,biological_process
Axon hillock,2,cellular_component
Cellular response to lithium ion,5,biological_process
Cellular response to catecholamine stimulus,1,biological_process
Guanine/thymine mispair binding,2,molecular_function
Substantia nigra development,12,biological_process
Histone h4 acetylation,8,biological_process
Histone h4 acetylation,8,molecular_function
Negative regulation of long-term synaptic potentiation,1,biological_process
Negative regulation of keratinocyte proliferation,12,biological_process
Eyelid development in camera-type eye,2,biological_process
Cellular response to steroid hormone stimulus,12,biological_process
Dopaminergic synapse,5,cellular_component
Cellular response to steroid hormone stimulus,12,molecular_function
Growth factor binding,6,molecular_function
Sarcoglycan complex,1,cellular_component
Nuclear-transcribed mrna catabolic process,2,biological_process
Fucosyltransferase activity,2,molecular_function
Negative regulation of systemic arterial blood pressure,1,biological_process
Cholesterol import,4,biological_process
Reactive oxygen species metabolic process,3,biological_process
Positive regulation of insulin secretion involved in cellular response to glucose stimulus,7,biological_process
Positive regulation of exosomal secretion,4,biological_process
Malate metabolic process,7,biological_process
Heme transporter activity,3,molecular_function
Er-associated misfolded protein catabolic process,3,biological_process
Response to denervation involved in regulation of muscle adaptation,2,biological_process
Replication fork protection,3,biological_process
Purinergic nucleotide receptor activity,4,molecular_function
Extracellularly atp-gated cation channel activity,4,molecular_function
Ribosome binding,17,molecular_function
Non-membrane spanning protein tyrosine phosphatase activity,4,molecular_function
Sphingomyelin biosynthetic process,2,biological_process
Neuropeptide y receptor activity,2,molecular_function
Integrin complex,7,cellular_component
Negative regulation of synaptic transmission,1,biological_process
Positive regulation of histone h4 acetylation,1,biological_process
Acetylgalactosaminyltransferase activity,7,molecular_function
Nuclear-transcribed mrna catabolic process,4,biological_process
Toll-like receptor 9 signaling pathway,2,biological_process
Establishment of skin barrier,6,biological_process
Drug transport,4,biological_process
Drug transport,4,molecular_function
Neuronal cell body membrane,9,cellular_component
Cardiolipin biosynthetic process,3,biological_process
Epithelium development,2,biological_process
Membrane attack complex,3,cellular_component
Polyamine biosynthetic process,2,biological_process
Positive regulation of toll-like receptor 3 signaling pathway,1,biological_process
Telomeric d-loop disassembly,4,biological_process
Negative regulation of amyloid precursor protein biosynthetic process,2,biological_process
Establishment of planar polarity,5,biological_process
Acrosome reaction,9,biological_process
Regulation of behavior,4,biological_process
Retinoid x receptor binding,7,molecular_function
Positive regulation of exit from mitosis,2,biological_process
Hulc complex,3,cellular_component
Proteasomal ubiquitin-independent protein catabolic process,8,biological_process
H4 histone acetyltransferase activity,3,molecular_function
Action potential,2,biological_process
Action potential,2,molecular_function
Polyadenylation-dependent snorna 3'-end processing,1,biological_process
Amino acid transmembrane transporter activity,8,biological_process
Amino acid transmembrane transporter activity,8,molecular_function
Behavioral fear response,9,biological_process
Vesicle budding from membrane,5,biological_process
Positive regulation of mast cell degranulation,2,biological_process
Positive regulation of interferon-alpha secretion,5,biological_process
T cell mediated immunity,3,biological_process
Phosphatidylinositol-3-phosphatase activity,4,molecular_function
Ceramide metabolic process,6,biological_process
Production of sirna involved in rna interference,4,biological_process
Positive regulation of epidermal cell differentiation,3,biological_process
Cellular response to muramyl dipeptide,2,biological_process
Golgi disassembly,2,biological_process
Somite specification,2,biological_process
Floor plate development,2,biological_process
Positive regulation of signaling receptor activity,2,biological_process
Amino acid transport,6,biological_process
Amino acid transport,6,molecular_function
Positive regulation of neurogenesis,5,biological_process
Mitochondrial atp synthesis coupled electron transport,1,biological_process
Cell projection membrane,3,cellular_component
Dsrna transport,2,biological_process
L-ornithine transmembrane transporter activity,2,molecular_function
Mitochondrion morphogenesis,2,biological_process
Receptor guanylyl cyclase signaling pathway,3,biological_process
Voltage-gated chloride channel activity,5,biological_process
Preassembly of gpi anchor in er membrane,4,biological_process
Rac guanyl-nucleotide exchange factor activity,4,molecular_function
Protein maturation by protein folding,3,biological_process
Integral component of synaptic vesicle membrane,9,cellular_component
Tetrahydrofolate biosynthetic process,2,biological_process
Animal organ formation,2,biological_process
Anion transport,2,biological_process
Anion transport,2,molecular_function
Glutathione transferase activity,9,molecular_function
Dystrophin-associated glycoprotein complex,2,cellular_component
Gtp-dependent protein binding,2,molecular_function
Atrial septum morphogenesis,4,biological_process
Chromo shadow domain binding,4,molecular_function
